root,definition
['βουλευ/'],"['βουλεύω', 'βουλεύσω', 'ἐβούλευσα', 'βεβούλευκα', 'βεβούλευμαι', 'ἐβουλεύθην']"
['ἀβουλία/'],"['ἀβουλίηἀβουλία', 'ἀβουλίηςἀβουλίας']"
['βραχύ/'],"['βραχύς', 'βραχεῖα', 'βραχύ']"
['βωμίδ/'],"['βωμίς', 'βωμίδος']"
['γᾶ/'],"['γῆ', 'γῆς']"
['ἐπίγαιο/'],"['ἐπίγαιος', 'ἐπίγαιον']"
['γαμετά/'],"['γαμετή', 'γαμετῆς']"
['γείτον/'],"['γείτων', 'γείτονος']"
['γελα/'],"['γελάω', 'γελάσομαι', 'εγαλασα', 'εγελάσθην']"
['γελοίο/'],"['γελοῖος', 'γελοίηγελοία', 'γελοῖον']"
['γέλωτ/'],"['γέλως', 'γέλωτος']"
['γενέθλα/'],"['γενέθλη', 'γενέθλης']"
['γένεσ/'],"['γένος', 'γένεοςγένους']"
['γλυφ/'],"['γλύφω', 'γλύψω', 'ἔγλυψα', 'γέγλυμμαι']"
['γνο/'],"['γιγνώσκω', 'γνώσομαι', 'ἐγνων', 'ἐγνωκα', 'ἐγνωσμαι', 'εγνώσθην']"
['γνώμα/'],"['γνώμη', 'γνώμης']"
['γνωριδ/'],"['γνωρίζω', 'γνωρίσωγνωριέω', 'ἐγνώρισα', 'ἐγνώρικα']"
['γόνατ/'],"['γόνυ', 'γόνατος']"
['γράμματ/'],"['γράμμα', 'γράμματος']"
['γραφά/'],"['γραφή', 'γραφῆς']"
['γυμνό/'],"['γυμνός', 'γυμνή', 'γυμνόν']"
['γυμναδ/'],"['γυμνάζω', 'γυμνάσω', 'ἐγύμνασα', 'γεγύμνακα', 'γεγύμνασμαι', 'ἐγυμνάσθην']"
['γυναίκ/'],"['γυνή', 'γυναῖκος']"
['δαΐδ/'],"['δαΐς', 'δαΐδος']"
['δαίμον/'],"['δαίμων', 'δαίμωνος']"
['εὐδαιμονία/'],"['εὐδαιμονίηεὐδαιμονία', 'εὐδαιμονίηςεὐδαιμονίας']"
['δάμαρτ/'],"['δάμαρ', 'δάμαρτος']"
['δαπανα/'],"['δαπανάομαι', 'δαπανηθήσομαι', 'ἐδαπανησάμην', 'δεδαπάνημαι', 'ἐδαπανήθην']"
['δαψιλέσ/'],"['δαψιλής', 'δαψιλές']"
['δε/'],"['δέω', 'δήσω', 'ἔδησα', 'δέδηκα', 'δέδεμαι', 'ἐδέθην']"
['δεε/'],"['δέω', 'δεήσω', 'ἐδέησα', 'δεδέηκα', 'δεδέημαι', 'ἐδεήθην']"
['καταδεέσ/'],"['καταδεής', 'καταδεές']"
"['δϝει/', 'δϝι/']","['δείδω', 'δείσομαι', 'ἔδεισα', 'δέδοικα']"
['ἄδεια/'],"['ἀδείηἀδεία', 'ἀδείηςἀδείας']"
['δεινό/'],"['δεινός', 'δεινή', 'δεινόν']"
['δείπνο/'],"['δεῖπνον', 'δείπνου']"
['δειπνε/'],"['δειπνέω', 'δειπνήσω', 'ἐδείπνησα', 'δεδείπνηκα']"
['δεικ/'],"['δεικνυμι', 'δειξω', 'ἐδειξα', 'δεδειχα', 'δεδειγμαι', 'εδειχθην']"
['δεμ/'],"['δέμω', 'ἔδειμα', 'δέδμημαι']"
['δόμο/'],"['δόμος', 'δόμου']"
['οἰκοδόμο/'],"['οἰκοδόμος', 'οἰκοδόμου']"
['δωμάτιο/'],"['δωμάτιον', 'δωματίου']"
['δεχ/'],"['δέχομαι', 'δέξομαι', 'ἐδεξάμην', 'δέδεγμαι']"
['δήλο/'],"['δῆλος', 'δήλη', 'δῆλον']"
['δηλο/'],"['δηλοω', 'δηλωσω', 'εδηλωσα', 'δεδηλωκα', 'δεδηλωμαι', 'εδηλωθην']"
['ἄδηλο/'],"['ἄδηλος', 'ἄδηλον']"
['δήμο/'],"['δῆμος', 'δήμου']"
"['ἐπι/', 'δημε/']","['ἐπιδημέω', 'ἐπιδημήσω', 'ἐπεδήμησα']"
['διαιτα/'],"['διαιτάω', 'διαιτήσω', 'διῄτησα', 'δεδιῄτηκα', 'δεδιῄτημαι', 'διῃτήθην']"
['διακονε/'],"['διακονέω', 'διακονήσω', 'δεδιακόνηκα', 'δεδιακόνημαι', 'ἐδιακονήθην']"
['διασφάγ/'],"['διασφάξ', 'διασφάγος']"
['δίκα/'],"['δίκη', 'δίκης']"
['ἀδικε/'],"['αδικεω', 'αδικησω', 'ηδικησα', 'ηδικηκα', 'ηδικημαι', 'ηδικηθην']"
['ἀδίκηματ/'],"['ἀδίκημα', 'ἀδικήματος']"
['δίκαιο/'],"['δίκαιος', 'δικαία', 'δίκαιον']"
['δικαδ/'],"['δικαζω', 'δικασω', 'εδικασα', 'δεδικακα', 'δεδικασμαι', 'εδικασθην']"
['δο/'],"['δίδωμι', 'δώσω', 'ἔδωκα', 'δέδωκα', 'δέδομαι', 'ἐδόθην']"
['δωρε/'],"['δωρέω', 'δωρήσω', 'ἐδώρησα', 'δεδώρημαι', 'ἐδωρήθην']"
['δώρο/'],"['δῶρον', 'δώρου']"
['ἄδοξο/'],"['ἄδοξος', 'ἄδοξον']"
['ἀπροσδόκητο/'],"['ἀπροσδόκητος', 'ἀπροσδόκητον']"
['ἔνδοξο/'],"['ἔνδοξος', 'ἔνδοξον']"
['δόρατ/'],"['δόρυ', 'δόρατος']"
['δούλο/'],"['δοῦλος', 'δούλου']"
['δρα/'],"['δράω', 'δράσω', 'ἔδρασα', 'δέδρακα', 'δέδραμαι', 'ἐδράσθην']"
"['ἀπο/', 'δρα/']","['ἀποδιδρήσκωἀποδιδράσκω', 'ἀποδρήσομαιἀποδράσομαι', 'ἀπέδρηνἀπέδραν', 'ἀποδέδρακα']"
['δραμ/'],"['τρέχω', 'δραμέομαι', 'ἔδραμον', 'δέδρομα', 'δεδράμημαι']"
['πρόδρομο/'],"['πρόδρομος', 'πρόδρομον']"
['δυ/'],"['δύω', 'δύσω', 'ἔδυσα', 'ἔδυν', 'δέδυκα', 'δέδυμαι', 'ἐδύθην']"
['δυσμά/'],"['δυσμή', 'δυσμῆς']"
['ἔκδυσι/'],"['ἔκδυσις', 'ἐκδύσιοςἐκδύσεως']"
['δυνα/'],"['δύναμαι', 'δυνήσομαι', 'δεδύνημαι', 'ἐδυνήθην']"
['δύναμι/'],"['δύναμις', 'δυνάμιοςδυνάμεως']"
['δεύτερο/'],"['δεύτερος', 'δευτέρηδευτέρα', 'δεύτερον']"
['διπλόο/'],"['διπλόοςδιπλοῦς', 'διπλόηδιπλῆ', 'διπλόονδιπλοῦν']"
['δυσκολαν/'],"['δυσκολαίνω', 'δυσκολανέω']"
"['ἑ/', 'ε/']","['ἵημι', 'ἥσω', 'ἧκα', 'εἷκα', 'εἷμαι', 'εἵθην']"
"['ἐα/', 'εα/']","['ἐάω', 'ἐάσω', 'εἴασα', 'εἴακα', 'εἴαμαι', 'εἰάθην']"
['ἐγγυα/'],"['ἐγγυάω', 'ἐγγυήσομαι', 'ἐγγύησα', 'ἠγγύηκα', 'ἠγγύημαι', 'ἠγγυήθην']"
['ἐγερ/'],"['ἐγείρω', 'ἐγερέω', 'ἤγειρα', 'ἠγρόμην', 'ἐγρήγορα', 'ἐγήγερμαι', 'ἠγέρθην']"
['ἕδρα/'],"['ἕδρηἕδρα', 'ἕδρηςἕδρας']"
"['ἐν/', 'ἑδρευ/']","['ἐνεδρεύω', 'ἐνεδρεύσω', 'ἐνέδρευσα', 'ἐνήδρευμαι', 'ἐνηδρεύθην']"
['ἐθελ/'],"['εθελω', 'εθελησω', 'ηθελησα', 'ηθεληκα']"
['ἐθελοντά/'],"['ἐθελοντής', 'ἐθελοντοῦ']"
['ἔθνεσ/'],"['ἔθνος', 'ἔθνεοςἔθνους']"
['εἰθιδ/'],"['ἐθίζω', 'ἐθιέω', 'εἴθισα', 'εἴθικα', 'εἴθισμαι', 'εἰθίσθην']"
['εἰργ/'],"['εἴργω', 'εἴρξω', 'εἶρξα', 'εἶργμαι', 'εἴρχθην']"
['ἕκαστο/'],"['ἕκαστος', 'ἑκάστη', 'ἕκαστον']"
['ἐκείνο/'],"['ἐκεῖνος', 'ἐκείνη', 'ἐκεῖνο']"
['ἕκοντ/'],"['ἕκων', 'ἕκον']"
['ἀέκοντ/'],"['ἀέκωνἄκων', 'ἀέκονἄκον']"
['ἑλ/'],['αἱρε']
['ἐλα/'],"['ἐλαύνω', 'ἐλάω', 'ἤλασα', 'ἐλήλακα', 'ἐλήλαμαι', 'ἠλάθην']"
['ἐλαχύ/'],"['ἐλαχύς', 'ἐλάχεια', 'ἐλαχύ']"
['ἐλᾶσσον/'],"['ἐλάσσωνἐλάττων', 'ἐλᾶσσονἐλᾶττον']"
['ἐλάχιστο/'],"['ἐλάχιστος', 'ἐλαχίστη', 'ἐλάχιστον']"
['ἐλεύθερο/'],"['ἐλεύθερος', 'ἐλευθέρηἐλευθέρα', 'ἐλεύθερον']"
['ἐλευθερία/'],"['ἐλευθερίηἐλευθερία', 'ἐλευθερίηςἐλευθερίας']"
['ἐλθ/'],"['ἔρχομαι', 'εἶμι', 'ἐλεύσομαι', 'εἶμι', 'ἦλθον', 'ἐλήλυθα']"
['ἑλκ/'],"['ἕλκω', 'ἕλξω', 'εἵλκυσα', 'εἵλκυκα', 'εἵλκυσμαι', 'εἱλκύσθην']"
['ἐλπιδ/'],"['ελπιζω', 'ἐλπίσωελπιεω', 'ἠλπισα', 'ἤλπισμαι', 'ηλπισθην']"
['ἕν/'],"['εἵς', 'μία', 'ἕν']"
['μηδέν/'],"['μηδείς', 'μηδεμία', 'μηδέν']"
['οὐδέν/'],"['οὐδείς', 'οὐδεμία', 'οὐδέν']"
"['ἐνεγκ/', 'ἐνεκ/']",['φερ']
['ἐνεικ/'],['φερ']
"['ἐξ/', 'ενεικ/']",['εἵνεκα']
['ἔνιο/'],"['ἔνιοι', 'ἔνιαι', 'ἔνια']"
['ἑξακόσιο/'],"['ἑξακόσιοι', 'ἑξακόσιαι', 'ἑξακόσια']"
['ἑξάμετρο/'],"['ἑξάμετρος', 'ἑξάμετρον']"
['ἔξαρνο/'],"['ἔξαρνος', 'ἔξαρνον']"
['ϝεπ/'],['λεγ']
['ἔπεσ/'],"['ἔπος', 'ἔπεοςἔπους']"
"['ἑπ/', 'σεπ/']","['ἕπομαι', 'ἕψομαι', 'ἐσπόμην']"
['ἐπιτηδευ/'],"['ἐπιτηδεύω', 'ἐπιτηδεύσω', 'ἐπετήδευσα', 'ἐπιτετήδευκα', 'ἐπιτετήδευμαι', 'ἐπετηδεύθην']"
['ἐπιτήδειο/'],"['ἐπιτήδεοςἐπιτήδειος', 'ἐπιτηδέηἐπιτήδεια', 'ἐπιτήδεονἐπιτήδειον']"
['ἐποτρυν/'],['ἐποτρύνω']
['ἐρωτα/'],"['ἐρωτάω', 'ἐρωτήσω', 'ἠρώτησα', 'ἠρώτηκα', 'ἠρώτημαι', 'ἠρωτήθην']"
['ῥήματ/'],"['ῥῆμα', 'ῥήματος']"
['ϝέργο/'],"['ἔργον', 'ἔργου']"
['ἐργαδ/'],"['εργαζομαι', 'εργασομαι', 'ηργασαμην', 'εἰργασμαι', 'ηργασθην']"
['ὀργά/'],"['ὀργή', 'ὀργῆς']"
['ἐρδ/'],"['ἔρδω', 'ἔρξω', 'ἦρξα', 'ἔοργα']"
['ἔρημο/'],"['ἔρημος', 'ἐρήμη', 'ἔρημον']"
['ἐροκυδέσ/'],"['ἐροκυδής', 'ἐροκυδές']"
['ἑρμηνέϝ/'],"['ἑρμηνεύς', 'ἑρμηνέοςἑρμηνέως']"
['ϝερυ/'],"['ἐρύω', 'εἰρύω', 'ἐρύω', 'εἴρυσα', 'εἴρυμαι', 'εἴρυσμαι', 'εἰρύσθην']"
['ἔρυματ/'],"['ἔρυμα', 'ἐρύματος']"
['ἐρχ/'],"['ἐρχομαι', 'εἰμι', 'ελευσομαι', 'ἠλθον', 'εληλυθα']"
['ἐσ/'],"['εἰμι', 'ἔσομαι']"
['ἑσπέρα/'],"['ἑσπέρηἑσπέρα', 'ἑσπέρηςἑσπέρας']"
['ἕτερο/'],"['ἕτερος', 'ἑτέρηἑτέρα', 'ἕτερον']"
['ἑτεροιο/'],['ἑτεροιόω']
['μετεξέτερο/'],"['μετεξέτεροι', 'μετεξέτεραι', 'μετεξέτερα']"
['ἔτεσ/'],"['ἔτος', 'ἔτεοςἔτους']"
['ἕτοιμο/'],"['ἕτοιμος', 'ἕτοιμον']"
['εὐθέσ/'],"['ἰθήςεὐθής', 'ἰθέςεὐθές']"
['εὐθηνε/'],['εὐθηνέω']
['εὐπρεπέσ/'],"['εὐπρεπής', 'εὐπρεπές']"
['εὑρ/'],"['εὑρίσκω', 'εὑρήσω', 'ηὗρον', 'εὗρον', 'ηὕρηκα', 'εὕρηκα', 'ηὕρημαι', 'εὕρημαι', 'ηὑρέθην', 'εὑρέθην']"
['εὔρεσ/'],"['εὖρος', 'εὔρεοςεὔρους']"
['εὐρύ/'],"['εὐρύς', 'εὐρέαεὐρεῖα', 'εὐρύ']"
['εὐρύχορο/'],"['εὐρύχορος', 'εὐρύχορον']"
['ἔφορο/'],"['ἔφορος', 'ἐφόρου']"
"['ἐχ/', 'σεχ/']","['ἐχω', 'ἑξω', 'σχησω', 'ἐσχον', 'ἐσχηκα', 'ἔσχημαι', 'εσχεθην']"
"['ἐπ/', 'ισχ/']","['ἐπισχω', 'ἐπισχήσω', 'ἐπέσχον', 'ἐπέσχηκα']"
"['ὑπ/', 'ισχ/']","['ὑπισχνέομαι', 'ὑποσχήσομαι', 'ὑπεσχόμην', 'ὑπέσχημαι']"
['ἰσχυρό/'],"['ἰσχυρός', 'ἰσχυρήἰσχυρά', 'ἰσχυρόν']"
['ἐχθρό/'],"['ἐχθρός', 'ἐχθρήἐχθρά', 'ἐχθρόν']"
['ἔχθρα/'],"['ἔχθρηἔχθρα', 'ἔχθρηςἔχθρας']"
['ζα/'],"['ζάω', 'ζήσω']"
['ζώιο/'],"['ζῷον', 'ζῴου']"
['ζωό/'],"['ζωός', 'ζωή', 'ζωόν']"
['ζημία/'],"['ζημίηζημία', 'ζημίηςζημίας']"
['ζημιο/'],"['ζημιόω', 'ζημιώσω', 'ἐζημίωσα', 'ἐζημίωκα', 'ἐζημίωμαι', 'ἐζημιώθην']"
['ζητε/'],"['ζητέω', 'ζητήσω', 'ἐζήτησα', 'ἐζήτηκα', 'ἐζήτημαι', 'ἐζητήθην']"
['ἡγε/'],"['ἡγέομαι', 'ἡγήσομαι', 'ἡγησάμην', 'ἥγημαι', 'ἡγήθην']"
['ἡγεμόν/'],"['ἡγεμών', 'ἡγεμόνος']"
['ἠίθεο/'],"['ἠίθεος', 'ἠιθέου']"
['ἡκ/'],"['ἡκω', 'ἡξω']"
['ἥκιστο/'],"['ἥκιστος', 'ἡκίστη', 'ἥκιστον']"
['ἠλίθιο/'],"['ἠλίθιος', 'ἠλιθία', 'ἠλίθιον']"
['ἡλικία/'],"['ἡλικίηἡλικία', 'ἡλικίηςἡλικίας']"
